Current Density (mA/cm^2),Cell Voltage (V),Temperature (°C),Energy Input (kWh/kg),Catalyst Cost (gm/kg),Faradaic Efficiency (%),Province,CO2 Emissions (kg CO2/kg Ethanol),Energy Cost ($/kg Ethanol)
253.80486675913403,2.8933336962142167,30.531769943225548,31.005233602404996,45.74262733566705,61.706861744080555,British Columbia,0.4650785040360749,3.8446489666982195
247.44608131053002,2.614818879779011,42.25752796449313,33.532332893476145,47.322560696176716,57.00129758391426,Alberta,18.10745976247712,5.599899593210517
241.91536297264184,2.730450015442827,28.813660595427024,31.087917898596213,44.96717368061786,53.570078841687405,Nova Scotia,21.450663350031384,4.663187684789432
268.90766090951337,3.256484622098774,43.930499554856894,34.07087884554221,48.936301825738475,57.19351114049649,Ontario,1.0221263653662662,4.258859855692776
242.92530194801353,2.8149186033495037,40.989945294572266,30.31896512109875,,47.649114007124155,Prince Edward Island,9.095689536329624,5.09358614034459
222.13274586605036,3.0818743983057497,44.68955241761222,30.842407750844835,52.78489707722873,54.946441997802985,Saskatchewan,22.514957658116728,5.61331821065376
309.6861005711461,2.6461678804904394,36.08561798842434,33.69617414871183,50.99901830307924,55.09219303545409,British Columbia,0.5054426122306774,4.178325594440267
235.0855072413526,2.97469029136791,37.787915741804674,34.38272921188421,40.322739812986995,51.84318104101104,Yukon,2.750618336950737,4.985495735723211
262.1666422005651,2.408958092438964,45.319236335074514,36.082729188304036,51.27971308277626,63.33860439646378,Saskatchewan,26.340392307461947,6.567056712271334
247.5009498412554,2.839230786848149,46.26444259003409,32.15783297075498,47.643051654550234,52.60981804354179,Manitoba,0.06431566594150996,3.0871519651924784
199.85907648879908,3.101562091832295,34.83224377004854,34.78787554357617,50.70019728046941,57.838281859668804,Quebec,0.05913938842407949,2.5395149146810603
234.35293445101777,3.1781077462792275,37.859233583579496,32.24914327765243,46.11463920741865,,British Columbia,0.48373714916478644,3.998893766428901
245.93309112405908,3.1002761155607543,35.05718086511712,36.492710753795926,45.51992053897903,48.82002627133148,Nunavut,30.653877033188575,13.684766532673471
199.0882701354953,3.380952441612628,44.653791878214115,31.04303917419473,48.556268881769036,48.44381492459833,British Columbia,0.4656455876129209,3.849336857600146
227.99999322119862,2.943764998807312,42.10713455385781,32.673250849669145,55.21722684222134,52.2075217412769,Yukon,2.6138600679735315,4.737621373202026
237.47014383418593,3.065627251831967,,31.226416943013906,33.72719689167992,56.43411084563168,British Columbia,0.4683962541452086,3.872075700933724
243.54452348326024,3.0129805421272198,40.27343408239451,34.46376634278721,53.18137808508706,46.07691526436472,Quebec,0.058588402782738254,2.515854943023466
275.5384735331896,3.226481145665194,29.300822352015974,34.3306075914746,,48.50227835660276,Ontario,1.029918227744238,4.291325948934325
245.05520789850937,3.081932870581395,36.30846101359824,36.142035385696694,40.04793498466408,51.95524161058629,Northwest Territories,6.144146015568438,13.98696769426462
238.24070445835105,3.0214970821696703,39.15906926339584,35.93801413416069,48.0718716462417,54.300881194524166,Nova Scotia,24.797229752570875,5.390702120124103
267.96407336662105,3.3645929721591727,33.74369137256789,32.68505100224075,,55.287536506688106,Nova Scotia,22.552685191546114,4.902757650336112
232.85635645788986,2.83618853656413,29.42158298503787,30.96783503230683,46.532134811120855,53.61835790947128,Nova Scotia,21.36780617229171,4.645175254846024
285.93074704945695,3.152525587702559,44.99788357711956,36.54852086573,48.655474614663376,52.2187146003307,Manitoba,0.07309704173145999,3.50865800311008
235.1047193053418,3.007820552971271,35.98818835630297,34.47215011866711,50.73637502356733,49.046749645151586,Manitoba,0.06894430023733422,3.3093264113920426
242.091969916892,2.661801354615203,42.73740816711679,33.54620881485931,,56.53695135171234,Saskatchewan,24.488732434847297,6.105410004304395
,,46.963136016805834,31.83044712225388,41.87907749205099,55.9928969880122,Quebec,0.05411176010783159,2.323622639924533
262.2137716324932,3.1701460533533394,37.33834507196092,31.419723386929164,44.044769306958756,61.72937325578339,Newfoundland and Labrador,0.5341352975777959,4.335921827396225
267.3892800841179,2.9929505744780425,39.729585740434416,33.485917710886426,48.98323546690595,55.47089840395992,Nova Scotia,23.10528322051163,5.022887656632964
256.34167032208194,2.7648126952687617,43.42332800709232,34.219371272425825,49.817348139578606,54.236642424236,Yukon,2.737549701794066,4.961808834501745
239.27452972168192,3.000474937901001,38.533681734456366,35.20262467632926,,49.51541123794428,New Brunswick,10.560787402898777,4.470733333893816
226.43559581893052,2.55167932231701,41.016440461740764,35.76682779887399,43.22054974272346,54.57242512351242,Ontario,1.0730048339662197,4.470853474859249
257.0038467654664,3.165955580941406,44.130584976546984,33.445907938836775,45.50865830479095,51.62656400419673,Manitoba,0.06689181587767355,3.2108071621283307
260.8422374458083,2.7516957214794378,31.193711037683823,32.30285579970801,,53.28949665571935,Saskatchewan,23.58108473378685,5.879119755546858
267.7491340572823,3.1437843502405745,48.838622899589346,37.01485749086531,41.17479355473501,55.95727812397584,Saskatchewan,27.020845968331678,6.736704063337486
223.41862041553077,3.037703482428779,41.95617437966327,33.05203713805497,48.8276450533916,56.930141741769056,Nova Scotia,22.805905625257928,4.957805570708246
250.5640416480861,2.5957708423185544,41.407652534624376,29.81762972747398,39.84804940353827,53.23350636697695,Manitoba,0.059635259454947964,2.8624924538375023
225.30283063913672,2.9500276486634442,40.976387848873806,31.711513024489463,44.502967087629024,57.52225163329408,British Columbia,0.4756726953673419,3.9322276150366933
252.94093835504748,2.9341079936500063,48.78494532484901,30.420673539958482,55.149883518182136,49.742763505490935,Ontario,0.9126202061987544,3.8025841924948103
